Gene,Database,Frequency,Genomes
ADER,MEGARES,1 (100.0%),GCA_000498375.2
ADES,MEGARES,1 (100.0%),GCA_000498375.2
ADET1,MEGARES,1 (100.0%),GCA_000498375.2
ABAQ,MEGARES,1 (100.0%),GCA_000498375.2
ADEN,MEGARES,1 (100.0%),GCA_000498375.2
AMVA,MEGARES,1 (100.0%),GCA_000498375.2
MPHE,MEGARES,1 (100.0%),GCA_000498375.2
MSRE,MEGARES,1 (100.0%),GCA_000498375.2
ARMA,MEGARES,1 (100.0%),GCA_000498375.2
ABES,MEGARES,1 (100.0%),GCA_000498375.2
ADEL,MEGARES,1 (100.0%),GCA_000498375.2
ADEF,MEGARES,1 (100.0%),GCA_000498375.2
ADEG,MEGARES,1 (100.0%),GCA_000498375.2
ADEH,MEGARES,1 (100.0%),GCA_000498375.2
ADC,MEGARES,1 (100.0%),GCA_000498375.2
ADEI,MEGARES,1 (100.0%),GCA_000498375.2
ADEJ,MEGARES,1 (100.0%),GCA_000498375.2
ADEK,MEGARES,1 (100.0%),GCA_000498375.2
ADET2,MEGARES,1 (100.0%),GCA_000498375.2
ant(3'')-IIa,ARGANNOT,1 (100.0%),GCA_000498375.2
tetB,ARGANNOT,1 (100.0%),GCA_000498375.2
strB,ARGANNOT,1 (100.0%),GCA_000498375.2
strA,ARGANNOT,1 (100.0%),GCA_000498375.2
blaOXA-23,ARGANNOT,1 (100.0%),GCA_000498375.2
sul1,ARGANNOT,1 (100.0%),GCA_000498375.2
aac6-Iaf,ARGANNOT,1 (100.0%),GCA_000498375.2
blaTEM-1D,ARGANNOT,1 (100.0%),GCA_000498375.2
BlaA2,ARGANNOT,1 (100.0%),GCA_000498375.2
blaOXA-66,ARGANNOT,1 (100.0%),GCA_000498375.2
Mbl,ARGANNOT,1 (100.0%),GCA_000498375.2
BlaA1,ARGANNOT,1 (100.0%),GCA_000498375.2
mph(E),ARGANNOT,1 (100.0%),GCA_000498375.2
msr(E),ARGANNOT,1 (100.0%),GCA_000498375.2
armA,ARGANNOT,1 (100.0%),GCA_000498375.2
aadA1-pm,ARGANNOT,1 (100.0%),GCA_000498375.2
catB8,ARGANNOT,1 (100.0%),GCA_000498375.2
aph(3'')-Ia,ARGANNOT,1 (100.0%),GCA_000498375.2
blaADC-25,ARGANNOT,1 (100.0%),GCA_000498375.2
Zn-dependent_hydrolase,ARGANNOT,1 (100.0%),GCA_000498375.2
ANT(3'')-IIa,CARD,1 (100.0%),GCA_000498375.2
tet(B),CARD,1 (100.0%),GCA_000498375.2
APH(6)-Id,CARD,1 (100.0%),GCA_000498375.2
APH(3'')-Ib,CARD,1 (100.0%),GCA_000498375.2
LpsB,CARD,1 (100.0%),GCA_000498375.2
OXA-23,CARD,1 (100.0%),GCA_000498375.2
sul1,CARD,1 (100.0%),GCA_000498375.2
qacEdelta1,CARD,1 (100.0%),GCA_000498375.2
AAC(6')-Iaf,CARD,1 (100.0%),GCA_000498375.2
TEM-12,CARD,1 (100.0%),GCA_000498375.2
Acinetobacter_baumannii_AbaF,CARD,1 (100.0%),GCA_000498375.2
OXA-66,CARD,1 (100.0%),GCA_000498375.2
adeC,CARD,1 (100.0%),GCA_000498375.2
adeB,CARD,1 (100.0%),GCA_000498375.2
adeA,CARD,1 (100.0%),GCA_000498375.2
adeR,CARD,1 (100.0%),GCA_000498375.2
adeS,CARD,1 (100.0%),GCA_000498375.2
Acinetobacter_baumannii_AbaQ,CARD,1 (100.0%),GCA_000498375.2
adeN,CARD,1 (100.0%),GCA_000498375.2
Acinetobacter_baumannii_AmvA,CARD,1 (100.0%),GCA_000498375.2
mphE,CARD,1 (100.0%),GCA_000498375.2
msrE,CARD,1 (100.0%),GCA_000498375.2
armA,CARD,1 (100.0%),GCA_000498375.2
aadA,CARD,1 (100.0%),GCA_000498375.2
catB8,CARD,1 (100.0%),GCA_000498375.2
AAC(6')-Ib7,CARD,1 (100.0%),GCA_000498375.2
APH(3')-Ia,CARD,1 (100.0%),GCA_000498375.2
abeS,CARD,1 (100.0%),GCA_000498375.2
adeL,CARD,1 (100.0%),GCA_000498375.2
adeG,CARD,1 (100.0%),GCA_000498375.2
adeF,CARD,1 (100.0%),GCA_000498375.2
adeH,CARD,1 (100.0%),GCA_000498375.2
ADC-31,CARD,1 (100.0%),GCA_000498375.2
adeI,CARD,1 (100.0%),GCA_000498375.2
adeJ,CARD,1 (100.0%),GCA_000498375.2
adeK,CARD,1 (100.0%),GCA_000498375.2
ant(3'')-IIa,NCBI,1 (100.0%),GCA_000498375.2
tet(B),NCBI,1 (100.0%),GCA_000498375.2
aph(6)-Id,NCBI,1 (100.0%),GCA_000498375.2
aph(3'')-Ib,NCBI,1 (100.0%),GCA_000498375.2
blaOXA-23,NCBI,1 (100.0%),GCA_000498375.2
sul1,NCBI,1 (100.0%),GCA_000498375.2
aac(6')-Ip,NCBI,1 (100.0%),GCA_000498375.2
blaTEM-12,NCBI,1 (100.0%),GCA_000498375.2
blaOXA-66,NCBI,1 (100.0%),GCA_000498375.2
mph(E),NCBI,1 (100.0%),GCA_000498375.2
msr(E),NCBI,1 (100.0%),GCA_000498375.2
armA,NCBI,1 (100.0%),GCA_000498375.2
aadA1,NCBI,1 (100.0%),GCA_000498375.2
catB8,NCBI,1 (100.0%),GCA_000498375.2
aac(6')-Ib',NCBI,1 (100.0%),GCA_000498375.2
aph(3')-Ia,NCBI,1 (100.0%),GCA_000498375.2
blaADC-31,NCBI,1 (100.0%),GCA_000498375.2
tet(B)_1,RESFINDER,1 (100.0%),GCA_000498375.2
aph(6)-Id_1,RESFINDER,1 (100.0%),GCA_000498375.2
aph(3'')-Ib_2,RESFINDER,1 (100.0%),GCA_000498375.2
blaOXA-23_1,RESFINDER,1 (100.0%),GCA_000498375.2
sul1_5,RESFINDER,1 (100.0%),GCA_000498375.2
aac(6')-Iaf_1,RESFINDER,1 (100.0%),GCA_000498375.2
blaTEM-1D_1,RESFINDER,1 (100.0%),GCA_000498375.2
blaOXA-66_1,RESFINDER,1 (100.0%),GCA_000498375.2
mph(E)_1,RESFINDER,1 (100.0%),GCA_000498375.2
msr(E)_1,RESFINDER,1 (100.0%),GCA_000498375.2
armA_1,RESFINDER,1 (100.0%),GCA_000498375.2
ant(3'')-Ia_1,RESFINDER,1 (100.0%),GCA_000498375.2
catB8_1,RESFINDER,1 (100.0%),GCA_000498375.2
aph(3')-Ia_7,RESFINDER,1 (100.0%),GCA_000498375.2
blaADC-25_1,RESFINDER,1 (100.0%),GCA_000498375.2
