Category,Gene,Database,Frequency,Count,Percentage,Genomes
BACMET2 - Metal Resistance,czcA-BAC0119,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,czcD-BAC0122,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,copF-BAC0747,BACMET2,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,czcR-BAC0125,BACMET2,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,silB-BAC0342,BACMET2,5 (55.6%),5,55.56,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,merR,AMRfinder,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
BACMET2 - Metal Resistance,merT,AMRfinder,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
BACMET2 - Metal Resistance,merD,AMRfinder,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
BACMET2 - Metal Resistance,czcS-BAC0126,BACMET2,4 (44.4%),4,44.44,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016535705.2
BACMET2 - Metal Resistance,copR-BAC0083,BACMET2,4 (44.4%),4,44.44,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016535705.2
BACMET2 - Metal Resistance,arsH-BAC0034,BACMET2,4 (44.4%),4,44.44,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016535705.2
BACMET2 - Metal Resistance,merR-BAC0689,BACMET2,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
BACMET2 - Metal Resistance,merP-BAC0678,BACMET2,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
BACMET2 - Metal Resistance,merC-BAC0664,BACMET2,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
BACMET2 - Metal Resistance,merA-BAC0652,BACMET2,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
BACMET2 - Metal Resistance,merP,AMRfinder,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
BACMET2 - Metal Resistance,arsC-BAC0585,BACMET2,3 (33.3%),3,33.33,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1
BACMET2 - Metal Resistance,arsB-BAC0579,BACMET2,3 (33.3%),3,33.33,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1
BACMET2 - Metal Resistance,merT-BAC0695,BACMET2,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
BACMET2 - Metal Resistance,merA,AMRfinder,1 (11.1%),1,11.11,GCA_016535705.2
BACMET2 - Metal Resistance,merE,AMRfinder,1 (11.1%),1,11.11,GCA_016535705.2
BACMET2 - Metal Resistance,arsC-BAC0583,BACMET2,1 (11.1%),1,11.11,GCA_016535705.2
BACMET2 - Metal Resistance,merT-BAC0233,BACMET2,1 (11.1%),1,11.11,GCA_016535705.2
BACMET2 - Metal Resistance,merD-BAC0666,BACMET2,1 (11.1%),1,11.11,GCA_016535705.2
BACMET2 - Metal Resistance,merE-BAC0672,BACMET2,1 (11.1%),1,11.11,GCA_016535705.2
BACMET2 - Metal Resistance,cadR-BAC0058,BACMET2,1 (11.1%),1,11.11,GCA_016536425.2
Environmental Co-Selection,soxR-BAC0370,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,ant(3'')-IIa,AMRfinder,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,ANT3-DPRIME,MEGARES,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,APH3-DPRIME,MEGARES,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,ant(3'')-IIa,ARGANNOT,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,ANT(3'')-IIa,CARD,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,ant(3'')-IIa,NCBI,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,blaADC-25_1,RESFINDER,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,smeF-BAC0360,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,sul2,AMRfinder,8 (88.9%),8,88.89,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,SULII,MEGARES,8 (88.9%),8,88.89,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,sul2,ARGANNOT,8 (88.9%),8,88.89,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,sul2,CARD,8 (88.9%),8,88.89,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,sul2,NCBI,8 (88.9%),8,88.89,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,sul2_2,RESFINDER,8 (88.9%),8,88.89,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,dmeF-BAC0132,BACMET2,7 (77.8%),7,77.78,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,ant(2'')-Ia,AMRfinder,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(3')-Ia,AMRfinder,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,ANT2-DPRIME,MEGARES,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(3'')-Ia,ARGANNOT,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,aadB,ARGANNOT,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,APH(3')-Ia,CARD,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,ANT(2'')-Ia,CARD,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(3')-Ia,NCBI,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,ant(2'')-Ia,NCBI,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(3')-Ia_7,RESFINDER,6 (66.7%),6,66.67,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,aph(3'')-Ib,AMRfinder,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(6)-Id,AMRfinder,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(3')-VIa,AMRfinder,5 (55.6%),5,55.56,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,APH6,MEGARES,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,APH3-PRIME,MEGARES,5 (55.6%),5,55.56,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aphA6,ARGANNOT,5 (55.6%),5,55.56,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,APH(3'')-Ib,CARD,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,APH(6)-Id,CARD,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,APH(3')-VIa,CARD,5 (55.6%),5,55.56,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(3'')-Ib,NCBI,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(6)-Id,NCBI,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(3')-VI,NCBI,5 (55.6%),5,55.56,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(3'')-Ib_2,RESFINDER,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(6)-Id_1,RESFINDER,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,ant(2'')-Ia_13,RESFINDER,5 (55.6%),5,55.56,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,aph(3')-VI_1,RESFINDER,5 (55.6%),5,55.56,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,msr(E),AMRfinder,4 (44.4%),4,44.44,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1
Environmental Antibiotic Resistance,sul1,AMRfinder,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,aadA1,AMRfinder,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,blaADC,AMRfinder,4 (44.4%),4,44.44,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_016539245.2
Environmental Antibiotic Resistance,SULI,MEGARES,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,MSRE,MEGARES,4 (44.4%),4,44.44,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1
Environmental Antibiotic Resistance,sul1,ARGANNOT,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,msr(E),ARGANNOT,4 (44.4%),4,44.44,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1
Environmental Antibiotic Resistance,sul1,CARD,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,msrE,CARD,4 (44.4%),4,44.44,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1
Environmental Antibiotic Resistance,sul1,NCBI,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,msr(E),NCBI,4 (44.4%),4,44.44,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1
Environmental Antibiotic Resistance,sul1_5,RESFINDER,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,msr(E)_1,RESFINDER,4 (44.4%),4,44.44,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705825.1
Environmental Antibiotic Resistance,blaADC-30,AMRfinder,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,aacA16,AMRfinder,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,tet(B),AMRfinder,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,aac(3)-Ia,AMRfinder,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,dfrA44,AMRfinder,3 (33.3%),3,33.33,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1
Environmental Antibiotic Resistance,AAC3,MEGARES,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,AAC6-PRIME,MEGARES,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,TETB,MEGARES,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,aadA1-pm,ARGANNOT,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,aac3-I,ARGANNOT,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,blaADC-30,ARGANNOT,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,aac6-Iaf,ARGANNOT,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,tetB,ARGANNOT,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,aadA,CARD,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,AAC(3)-Ia,CARD,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,AAC(6')-Iaf,CARD,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,tet(B),CARD,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,aadA1,NCBI,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,aac(3)-Ia,NCBI,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,dfrA44,NCBI,3 (33.3%),3,33.33,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1
Environmental Antibiotic Resistance,blaADC-186,NCBI,3 (33.3%),3,33.33,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1
Environmental Antibiotic Resistance,blaADC-30,NCBI,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,aac(6')-Ip,NCBI,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,tet(B),NCBI,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,ant(3'')-Ia_1,RESFINDER,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,aac(3)-Ia_1,RESFINDER,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705885.1;GCA_016535705.2
Environmental Antibiotic Resistance,aac(6')-Iaf_1,RESFINDER,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,tet(B)_1,RESFINDER,3 (33.3%),3,33.33,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1
Environmental Antibiotic Resistance,tet(39),AMRfinder,2 (22.2%),2,22.22,GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,TET39,MEGARES,2 (22.2%),2,22.22,GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,blaADC-10,ARGANNOT,2 (22.2%),2,22.22,GCA_016535705.2;GCA_016539245.2
Environmental Antibiotic Resistance,tet(39),ARGANNOT,2 (22.2%),2,22.22,GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,tet(39),CARD,2 (22.2%),2,22.22,GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,tet(39),NCBI,2 (22.2%),2,22.22,GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,tet(39)_2,RESFINDER,2 (22.2%),2,22.22,GCA_016536425.2;GCA_016539245.2
Environmental Antibiotic Resistance,catB3,AMRfinder,1 (11.1%),1,11.11,GCA_014705825.1
Environmental Antibiotic Resistance,dfrA19,AMRfinder,1 (11.1%),1,11.11,GCA_014705825.1
Environmental Antibiotic Resistance,blaADC-88,AMRfinder,1 (11.1%),1,11.11,GCA_016536425.2
Environmental Antibiotic Resistance,blaADC-11,AMRfinder,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,catA1,AMRfinder,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,tet(A),AMRfinder,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,blaADC-176,AMRfinder,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,CATA,MEGARES,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,TETA,MEGARES,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,catA1,ARGANNOT,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,tetA,ARGANNOT,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,tetR,ARGANNOT,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,blaADC-75,ARGANNOT,1 (11.1%),1,11.11,GCA_016536425.2
Environmental Antibiotic Resistance,catB3,ARGANNOT,1 (11.1%),1,11.11,GCA_014705825.1
Environmental Antibiotic Resistance,dfrA19,ARGANNOT,1 (11.1%),1,11.11,GCA_014705825.1
Environmental Antibiotic Resistance,catA1,CARD,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,tet(A),CARD,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,catB3,CARD,1 (11.1%),1,11.11,GCA_014705825.1
Environmental Antibiotic Resistance,dfrA19,CARD,1 (11.1%),1,11.11,GCA_014705825.1
Environmental Antibiotic Resistance,blaADC-11,NCBI,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,catA1,NCBI,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,tet(A),NCBI,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,blaADC-176,NCBI,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,blaADC-96,NCBI,1 (11.1%),1,11.11,GCA_016539245.2
Environmental Antibiotic Resistance,aph(3')-VIa,NCBI,1 (11.1%),1,11.11,GCA_001444225.1
Environmental Antibiotic Resistance,blaADC-88,NCBI,1 (11.1%),1,11.11,GCA_016536425.2
Environmental Antibiotic Resistance,catB3,NCBI,1 (11.1%),1,11.11,GCA_014705825.1
Environmental Antibiotic Resistance,dfrA19,NCBI,1 (11.1%),1,11.11,GCA_014705825.1
Environmental Antibiotic Resistance,catA1_1,RESFINDER,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,tet(A)_6,RESFINDER,1 (11.1%),1,11.11,GCA_016535705.2
Environmental Antibiotic Resistance,aph(3')-VIa_1,RESFINDER,1 (11.1%),1,11.11,GCA_001444225.1
Environmental Antibiotic Resistance,catB3_2,RESFINDER,1 (11.1%),1,11.11,GCA_014705825.1
Environmental Antibiotic Resistance,ant(2'')-Ia_1,RESFINDER,1 (11.1%),1,11.11,GCA_014705825.1
Environmental Antibiotic Resistance,dfrA19_2,RESFINDER,1 (11.1%),1,11.11,GCA_014705825.1
Mobile Genetic Elements,mtrA-BAC0256,BACMET2,8 (88.9%),8,88.89,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
Mobile Genetic Elements,strA,ARGANNOT,5 (55.6%),5,55.56,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016536425.2;GCA_016539245.2
